Drug1_name,Drug1_CID,Drug2_name,Drug2_CID,HSA,Bliss,Loewe,ZIP,Source_DB,DB_ID
Daporinad,6914657,781661-94-7,11178236,-19.9,-22.06,28.69,-0.73,DrugcombPortal,1276006
Imatinib,5291,Vorinostat,5311,-7.34,1.26,-16.02,0.24,DrugcombPortal,192737
Tozasertib,5494449,GSK 650394,25022668,-14.46,-3.81,-25.0,-13.4,DrugcombPortal,1387681
temozolomide,5394,Nilotinib,644241,-2.44,-0.14,-2.28,0.45,DrugcombPortal,154678
PARGYLINE,4688,ETHINYL ESTRADIOL,5991,11.15,-4.11,11.15,-4.11,DrugcombDB,115203
temozolomide,5394,MK-1775,24856436,-2.44,3.29,-36.65,6.79,DrugcombPortal,70884
URACIL MUSTARD,6194,AMIFOSTINE,2141,4.03,3.42,-8.47,-1.03,DrugcombDB,188680
DEXRAZOXANE,71384,ALTRETAMINE,2123,-1.06,0.92,-2.56,-1.83,DrugcombDB,428805
Fingolimod,107970,Vorinostat,5311,-12.83,-14.59,-4.83,-3.3,DrugcombPortal,1272271
Pazopanib,10113978,Aprepitant,135413536,36.38,19.32,36.35,19.32,DrugcombPortal,127275
Tamoxifen citrate,2733525,cyclophosphamide,2907,0.52,2.05,0.77,-0.16,DrugcombPortal,156858
RAF265,11656518,nilutamide,4493,26.47,81.91,-6.35,42.05,DrugcombPortal,1228410
LAPATINIB,208908,DINACICLIB,46926350,7.22,5.49,2.9,3.38,DrugcombDB,42113
THIOTEPA,5453,PACLITAXEL,36314,3.01,3.17,-2.78,4.57,DrugcombDB,187649
Vepesid J,36462,Bortezomib,387447,-1.13,-2.16,-2.75,-7.83,DrugcombPortal,304635
CELECOXIB,2662,CISPLATINO,441203,-4.83,-2.17,-12.42,-2.22,DrugcombDB,166562
ABIRATERONE,132971,BENDAMUSTINE HYDROCHLORIDE,77082,-0.93,-0.08,-0.63,-0.15,DrugcombDB,414697
1032350-13-2,46930998,AS-252424,11630874,-10.59,15.57,-2.59,19.37,DrugcombPortal,1310360
Ruxolitinib,25126798,Pemetrexed,135410875,-2.32,1.82,-11.7,-2.35,DrugcombPortal,405081
AMODIAQUINE,2165,ACITRETIN,5284513,36.32,26.51,36.32,26.51,DrugcombDB,127828
Vinblastine sulfate,241902,Romidepsin,5352062,1.78,5.56,-34.44,1.71,DrugcombPortal,222395
dexamethasone,5743,Lapatinib,208908,0.2,-0.42,-11.55,-2.92,DrugcombPortal,78472
actinomycin D,457193,celecoxib,2662,3.81,6.28,2.98,2.81,DrugcombPortal,228643
FULVESTRANT,104741,ALLOPURINOL,135401907,2.66,4.42,2.73,0.93,DrugcombDB,144683
Lumefantrine,6437380,acarbose,41774,-9.62,-23.2,-9.62,-23.2,DrugcombPortal,96068
AZACYTIDINE,9444,NSC256439,42890,8.71,7.29,5.37,3.68,DrugcombDB,443778
Asenapine,3036780,zafirlukast,5717,26.13,11.95,26.13,11.95,DrugcombPortal,119195
CHLORAMBUCIL,2708,IFOSFAMIDE,3690,-5.43,-6.09,-7.99,-7.83,DrugcombDB,345102
EFAVIRENZ,64139,HALOFANTRINE,37393,2.69,1.6,2.68,1.6,DrugcombDB,131705
TENIPOSIDE,452548,IMIQUIMOD,57469,0.24,-0.42,-16.8,-0.71,DrugcombDB,364412
Nilotinib,644241,GSK 650394,25022668,4.9,71.79,-2.79,27.55,DrugcombPortal,1314457
ABACAVIR,441300,CILASTATIN,6435415,-16.23,-28.43,-16.24,-28.43,DrugcombDB,93432
metformin,4091,Dasatinib,3062316,-5.71,-10.05,-16.42,-7.62,DrugcombPortal,30995
MK-4541,59691338,Lapatinib,208908,-6.89,-7.65,-10.29,-3.89,DrugcombPortal,54006
mitotane,4211,cyclophosphamide,2907,-0.85,1.34,-1.08,-1.01,DrugcombPortal,145985
MRK-003,15953832,LAPATINIB,208908,19.01,17.53,14.66,16.94,DrugcombDB,3991
letrozole,3902,amifostine,2141,-3.69,-0.26,0.34,1.91,DrugcombPortal,134987
Carboplatinum,38904,Veliparib,11960529,-11.95,-11.95,-13.28,-5.36,DrugcombPortal,48222
lansoprazole,3883,meclofenamic acid,4037,-1.56,-21.82,-1.56,-21.82,DrugcombPortal,119017
gemcitabine,60750,Erlotinib,176870,-29.71,-42.59,-8.77,-18.26,DrugcombPortal,1279069
racemic-Tasocitinib,9818231,BI-D1870,25023738,-5.28,-4.38,-15.56,-0.25,DrugcombPortal,1232309
LAPATINIB,208908,ADM HYDROCHLORIDE,32874,9.88,9.24,0.01,6.26,DrugcombDB,432849
methotrexate,126941,Trisenox,14888,-1.49,-1.92,-10.68,-1.68,DrugcombPortal,188337
ENDOXIFEN,10090750,NIZATIDINE,3033637,-6.37,-14.75,-6.38,-14.75,DrugcombDB,118180
etoposide,36462,391210-10-9,9826528,5.52,-3.63,2.88,-2.46,DrugcombPortal,5352
Carboplatinum,38904,L-778123 free base,216454,2.7,-6.84,-0.13,-9.67,DrugcombPortal,34745
AMILORIDE,16231,praziquantel,4891,-7.52,-21.21,-7.52,-21.21,DrugcombPortal,99952
Lapatinib,208908,GW9662,644213,-17.16,-0.28,-23.3,1.1,DrugcombPortal,1299366
Melphalan hydrochloride,9927978,Trisenox,14888,-9.53,-5.85,-9.84,-0.94,DrugcombPortal,404579
hydroxyurea,3657,Pralatrexate,148121,-1.41,-0.69,-47.69,0.85,DrugcombPortal,229013
CRIZOTINIB,11626560,DEXRAZOXANE,71384,-1.1,1.02,-10.86,-6.07,DrugcombDB,402622
AZD4547,51039095,Navitoclax,24978538,-30.01,7.21,-30.88,25.21,DrugcombPortal,1195718
VX-702,10341154,BI-D1870,25023738,8.33,12.98,2.8,0.98,DrugcombPortal,1404904
MEGESTROL ACETATE,11683,THALIDOMIDE,5426,1.45,6.13,1.45,2.34,DrugcombDB,377092
TRETINOIN,444795,DASATINIB,3062316,5.65,1.81,3.02,-2.54,DrugcombDB,256246
Co-V,439693,Erlotinib hydrochloride,176871,-6.17,-6.08,-2.77,-1.34,DrugcombPortal,191648
TCS JNK 5a,766949,GSK0660,46233311,6.85,6.76,5.33,1.47,DrugcombPortal,1295311
mitoxantrone,4212,Co-V,439693,-4.76,-5.86,-40.17,-1.87,DrugcombPortal,417910
Decitabine,451668,XL147,1893730,-2.94,36.35,-8.18,21.56,DrugcombPortal,1245633
LAPATINIB,208908,VINBLASTINE SULFATE,241902,0.52,3.95,0.52,1.26,DrugcombDB,260574
Vincristine sulfate,249332,MITHRAMYCIN,163659,-6.3,-4.84,-11.23,-0.82,DrugcombPortal,212223
Melphalan hydrochloride,9927978,Vincristine sulfate,249332,1.18,5.09,-25.28,-0.2,DrugcombPortal,133778
915019-65-7,11977753,Midostaurin,9829523,-6.8,-8.65,-9.45,-11.65,DrugcombPortal,1323457
LETROZOLE,3902,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,-3.61,-0.29,-3.52,1.17,DrugcombDB,253201
Vincristine sulfate,249332,Co-V,439693,-2.67,-1.76,-42.95,-0.79,DrugcombPortal,280778
ACETAZOLAMIDE,1986,NATEGLINIDE,5311309,-2.13,-16.46,-2.13,-16.46,DrugcombDB,107634
RUXOLITINIB,25126798,HYDROXYUREA,3657,-3.19,1.97,-3.19,1.86,DrugcombDB,399407
nilutamide,4493,Tipifarnib,159324,-41.45,-22.67,-57.89,-1.95,DrugcombPortal,1437382
14913-33-8,5702198,PLX-4720,24180719,-35.44,-31.95,-7.51,-2.13,DrugcombPortal,1231290
SB-505124,9858940,PRT062607,44462758,-12.58,-10.95,-14.68,-7.36,DrugcombPortal,1178670
URACIL MUSTARD,6194,GEMZAR (LILLY),356653,-2.75,-3.0,-2.57,-10.03,DrugcombDB,394522
VANDETANIB,3081361,LAPATINIB,208908,-5.48,-6.38,-11.58,-10.89,DrugcombDB,323904
VEMURAFENIB,42611257,QUINACRINE HYDROCHLORIDE,6239,6.47,3.07,2.5,4.63,DrugcombDB,331127
Perifosine,148177,934593-90-5,16124726,1.55,32.18,2.31,30.85,DrugcombPortal,1337675
Abiraterone,132971,Melphalan hydrochloride,9927978,3.04,6.46,0.68,-1.24,DrugcombPortal,425058
RALOXIFENE,5035,NILOTINIB,644241,-0.39,3.95,2.04,7.44,DrugcombDB,183248
letrozole,3902,Vinblastine sulfate,241902,-1.88,2.98,-1.49,3.35,DrugcombPortal,168632
ZOLINZA,5311,SN-38,104842,12.61,12.83,11.83,7.91,DrugcombDB,87289
GEFITINIB,123631,NSC141540,36462,4.68,3.93,-23.32,-4.3,DrugcombDB,322621
Darinaparsin,11683005,49843-98-3,5113032,-10.03,-22.1,-5.4,-10.9,DrugcombPortal,1239494
Eloxatin (TN) (Sanofi Synthelab),24197464,NSC-127716,451668,-1.95,0.21,-1.25,0.47,DrugcombPortal,230263
ENMD-2076,16041424,ZM 336372,5730,5.98,64.8,16.58,48.19,DrugcombPortal,1255121
Silmitasertib,24748573,CHEMBL1254007,15949613,-28.81,-22.44,-8.16,-7.47,DrugcombPortal,1238592
thiotepa,5453,Zanosar,23615975,2.09,1.12,-11.49,-3.5,DrugcombPortal,145816
ACARBOSE,41774,FELBAMATE,3331,-16.53,-29.8,-16.53,-29.8,DrugcombDB,95138
CABAZITAXEL,9854073,TOPOTECAN HYDROCHLORIDE,60699,4.55,1.45,-1.68,2.97,DrugcombDB,333449
Lenalidomide,216326,EMBELIN,3218,-10.2,21.95,-14.58,5.59,DrugcombPortal,1301374
URACIL MUSTARD,6194,HYDROXYUREA,3657,-4.21,-2.7,-24.2,-5.53,DrugcombDB,392929
NAVELBINE DITARTRATE (TN),25136944,FLUDARABINE BASE,3367,5.54,6.24,-31.76,2.97,DrugcombDB,325515
PACLITAXEL,36314,ZOLINZA,5311,-0.2,3.01,-8.61,2.02,DrugcombDB,197422
TAMOXIFEN CITRATE,2733525,BLEOMYCIN,5360373,-1.0,-0.74,-1.47,-1.92,DrugcombDB,191693
IMATINIB,5291,QUINACRINE HYDROCHLORIDE,6239,-1.52,-0.09,-11.14,-3.69,DrugcombDB,199209
dorsomorphin,11524144,GW 441756,9943465,-3.97,-0.14,7.24,12.4,DrugcombPortal,1248936
Picoplatin,177358,Panobinostat,6918837,-0.743,-3.186,-4.849,-2.136,DrugcombDB,496566
VINBLASTINE SULFATE,241902,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,-2.26,2.09,-1.78,2.45,DrugcombDB,222489
NCGC00179454-04,73265358,Cipargamin,44469321,1.97,0.81,-2.38,1.1,DrugcombPortal,1459180
RUXOLITINIB,25126798,BLEOMYCIN,5360373,-10.76,-6.78,-18.66,-0.74,DrugcombDB,320501
SPC-839,9820526,GSK-2126458,25167777,6.5,10.935,1.165,12.415,DrugcombDB,480926
Axitinib,6450551,mitomycin C,5746,16.3,18.94,14.1,8.8,DrugcombPortal,426309
Vismodegib,24776445,Midostaurin,9829523,-7.1,23.09,10.31,16.0,DrugcombPortal,1401428
MILRINONE,4197,CARGLUMIC ACID,121396,15.49,0.96,15.48,0.96,DrugcombDB,116849
Ruxolitinib,25126798,VX-702,10341154,-29.61,-28.54,-6.6,-7.93,DrugcombPortal,1355421
"5,5'-Dimethyl-2,2'-bipyridine",15664,MARIZOMIB,11347535,4.16,2.34,-23.71,2.67,DrugcombPortal,447142
Navelbine ditartrate (TN),25136944,NSC-127716,451668,2.54,1.51,-5.14,-8.92,DrugcombPortal,335227
TCS 401,56972185,GW 441756,9943465,-8.94,-6.94,8.75,7.16,DrugcombPortal,1378993
PACLITAXEL,36314,LAPATINIB,208908,18.87,16.91,-13.53,16.51,DrugcombDB,6386
Tanespimycin,6505803,RAF265,11656518,5.02,4.18,3.4,2.4,DrugcombPortal,1376705
MRK003,15953832,Sorafenib,216239,10.14,6.05,4.36,5.98,DrugcombPortal,82043
CHIR-99021,9956119,Ruxolitinib,25126798,-10.19,-9.04,-10.34,-4.12,DrugcombPortal,1184031
HYDROXYUREA,3657,METHOTREXATE,126941,-1.18,-0.76,-54.03,-1.07,DrugcombDB,157405
TRIHEXYPHENIDYL,5572,DOXORUBICIN,31703,3.82,3.01,3.74,3.01,DrugcombDB,121498
CO-V,439693,ARSENIC TRIOXIDE,14888,-0.12,0.99,-7.15,0.42,DrugcombDB,253694
thalidomide,5426,carmustine,2578,-3.02,-2.33,-3.76,-0.35,DrugcombPortal,235693
METHOTREXATE,126941,DINACICLIB,46926350,4.29,0.82,-0.07,6.42,DrugcombDB,1115
Vismodegib,24776445,NSC256439,42890,3.23,1.41,3.22,1.81,DrugcombPortal,433889
Nilotinib,644241,mitotane,4211,0.28,0.29,-0.58,-0.68,DrugcombPortal,257407
CABAZITAXEL,9854073,ifosfamide,3690,-5.3,-5.0,-43.86,-1.43,DrugcombPortal,356897
VINBLASTINE SULFATE,241902,NILOTINIB,644241,-8.1,1.63,-7.1,5.97,DrugcombDB,271733
Lenalidomide,216326,actinomycin D,457193,6.71,6.72,7.34,3.14,DrugcombPortal,359538
ALTRETAMINE,2123,SUNITINIB,5329102,-1.92,2.81,-1.87,4.38,DrugcombDB,337957
Y-39983 dihydrochloride 2/3 H2O,73013358,T0901317,447912,-20.33,-31.7,13.51,-14.05,DrugcombPortal,1351098
Alvocidib,5287969,Gemcitabine,60750,-0.3,-0.77,-0.14,-0.55,SYNERGx,378839
URACIL MUSTARD,6194,IFOSFAMIDE,3690,-15.77,-13.79,-47.86,-7.03,DrugcombDB,344468
temozolomide,5394,dorsomorphin,11524144,-41.64,-50.04,-8.74,-16.82,DrugcombPortal,1379732
PF-562271,11713159,su6656,5312137,10.22,33.26,7.84,11.61,DrugcombPortal,1343726
Doxycycline,54671203,Amodiaquin dihydrochloride dihydrate,64646,-1.033,-5.093,-7.205,-4.732,DrugcombDB,477319
CARBOPLATIN,426756,BUSULFAN,2478,-0.34,3.52,-2.28,0.29,DrugcombDB,206602
4-Aminosalicylic acid,4649,ribavirin,37542,10.15,7.61,10.12,7.61,DrugcombPortal,124066
391210-10-9,9826528,Dasatinib,3062316,0.09,-2.58,-1.34,-1.94,DrugcombPortal,40682
Lenalidomide,216326,EMBELIN,3218,-16.24,-21.48,-18.74,-11.0,DrugcombPortal,1301393
AZD7762,11152667,FH535,3463933,-1.8,-3.45,-2.94,-0.07,DrugcombPortal,1212448
5-Fluoro-2'-deoxyuridine,5790,Zanosar,23615975,2.3,2.61,-28.85,2.44,DrugcombPortal,176920
etoposide,36462,915019-65-7,11977753,4.86,-0.47,1.42,2.18,DrugcombPortal,677
EXEMESTANE,60198,SUNITINIB,5329102,-1.22,-0.49,-1.02,-0.04,DrugcombDB,369006
122111-05-1,46781465,Ixabepilone,6445540,-3.33,-7.22,-4.94,-7.09,DrugcombPortal,233635
SNS-314,24995524,GSK 650394,25022668,-12.11,8.13,11.52,12.76,DrugcombPortal,1360944
SODIUM DIETHYLDITHIOCARBAMATE TRIHYDRATE,517546,ETOMIDATE,667484,1.14,-0.09,1.11,-0.09,DrugcombDB,129274
Nicardipine,4474,Bardoxolone methyl,400769,-0.136,-2.672,-3.839,-5.79,DrugcombDB,475190
Ruxolitinib,25126798,Emcyt (Pharmacia),54611422,-6.74,-7.78,-13.63,-5.46,DrugcombPortal,414089
URACIL MUSTARD,6194,ADM HYDROCHLORIDE,32874,5.58,1.65,3.61,1.31,DrugcombDB,443370
55-86-7,5935,5-Aminolevulinic acid hydrochloride,123608,0.16,-0.35,-2.53,-2.52,DrugcombPortal,150333
SUNITINIB,5329102,QUINACRINE HYDROCHLORIDE,6239,2.01,-3.67,1.25,-9.85,DrugcombDB,256552
VINBLASTINE SULFATE,241902,AMINOLEVULINIC ACID HYDROCHLORIDE,123608,-1.18,0.16,-0.68,0.6,DrugcombDB,229366
PD325901,9826528,BEZ-235,11977753,14.17,12.48,1.88,10.12,DrugcombDB,52156
GEMZAR (LILLY),356653,ALLOPURINOL,135401907,-2.66,-2.05,-76.22,-0.3,DrugcombDB,199566
BENDAMUSTINE HYDROCHLORIDE,77082,GEMZAR (LILLY),356653,1.8,4.63,-63.94,0.92,DrugcombDB,254918
Luminespib,135539077,BGT-226 free base,11978790,-1.22,2.17,-4.91,3.94,DrugcombPortal,1463640
Palonosetron,6337614,Aprepitant,135413536,-32.82,-42.61,-32.83,-42.61,DrugcombPortal,102189
117048-62-1,72686,Ciclopirox olamine,38911,1.47,2.83,1.08,0.48,DrugcombPortal,462862
Darinaparsin,11683005,ZM 336372,5730,-45.56,-33.29,-45.81,-13.34,DrugcombPortal,1241180
METHOTREXATE,126941,TOPOTECAN HYDROCHLORIDE,60699,-5.37,-3.87,-21.38,-5.24,DrugcombDB,135006
VINBLASTINE SULFATE,241902,QUINACRINE HYDROCHLORIDE,6239,-1.79,-3.47,-4.1,-6.84,DrugcombDB,189780
MK-4541,59691338,metformin,4091,3.91,5.97,3.67,1.96,DrugcombPortal,51679
RAF265,11656518,SNS-032,3025986,16.73,38.6,12.13,25.0,DrugcombPortal,1228697
284028-89-3,135418940,EMBELIN,3218,-32.31,-3.69,-11.96,8.1,DrugcombPortal,1408778
Tozasertib,5494449,gemcitabine,60750,-7.41,-12.98,-9.46,-11.3,DrugcombPortal,1387611
6-Hydroxy Buspirone,9930913,trazodone,5533,-10.28,-25.56,-10.28,-25.56,DrugcombPortal,103177
Daporinad,6914657,GW0742,9934458,-22.5,21.73,8.06,21.97,DrugcombPortal,1273678
RUXOLITINIB,25126798,NAVELBINE DITARTRATE (TN),25136944,14.62,18.82,-30.76,22.18,DrugcombDB,374352
cyclophosphamide,2907,geldanamycin,5288382,-1.47,0.8,-32.92,6.08,DrugcombPortal,48329
docetaxel,148124,methoxsalen,4114,-8.18,-7.83,-27.14,-5.65,DrugcombPortal,237551
temozolomide,5394,284028-89-3,135418940,8.04,14.98,10.7,8.47,DrugcombPortal,1381288
MK-8669,11520894,MK-8776,16224745,-0.43,-3.17,-0.49,-3.43,DrugcombDB,47232
TEMOZOLOMIDE,5394,MK-4827,24958200,27.8,31.37,-35.65,28.48,DrugcombDB,27408
NSC733504,6442177,PIPOBROMAN,4842,-1.46,-6.55,-13.07,-5.05,DrugcombDB,157724
MEGESTROL ACETATE,11683,altretamine,2123,-10.69,-6.15,-9.85,3.63,DrugcombPortal,392664
NMS-1286937,49792852,Panobinostat,6918837,7.91,5.64,-5.11,5.19,DrugcombPortal,449044
Axitinib,6450551,Imatinib,5291,-1.37,-0.11,-3.39,-2.42,DrugcombPortal,342807
Lapatinib,208908,methoxsalen,4114,0.73,3.34,0.83,1.79,DrugcombPortal,290245
etoposide,36462,Dovitinib,135398510,20.97,69.82,16.15,36.06,DrugcombPortal,1261546
LETROZOLE,3902,ROMIDEPSIN,5352062,-1.31,4.22,-1.48,2.22,DrugcombDB,240937
AS-252424,11630874,dorsomorphin,11524144,9.62,7.25,13.29,8.84,DrugcombPortal,1211680
Elesclomol,300471,KU-55933,5278396,-6.64,5.55,-35.4,11.4,DrugcombPortal,1365948
RUXOLITINIB,25126798,NSC141540,36462,2.41,-1.99,0.2,-7.03,DrugcombDB,334477
DACARBAZINE,135398738,THIOTEPA,5453,-4.78,-4.56,-9.31,-3.23,DrugcombDB,388824
Vepesid J,36462,cyclophosphamide,2907,1.94,1.92,-27.17,1.16,DrugcombPortal,347776
etoposide,36462,Indole-3-carbinol,3712,8.68,18.1,6.05,11.13,DrugcombPortal,1435525
CHLORAMBUCIL,2708,QUINACRINE HYDROCHLORIDE,6239,-10.08,-7.93,-19.9,-3.18,DrugcombDB,337218
ADM HYDROCHLORIDE,32874,CO-V,439693,-0.57,-0.9,-1.97,-0.16,DrugcombDB,290155
"Azacytidine, 5-",1805,methoxsalen,4114,3.82,3.25,-16.84,-0.25,DrugcombPortal,263374
Axitinib,6450551,thiotepa,5453,-4.33,-1.49,-11.39,-6.43,DrugcombPortal,400300
dipyridamole,3108,probenecid,4911,11.33,3.26,11.28,3.26,DrugcombPortal,126422
SN-38,104842,PROCARBAZINE HYDROCHLORIDE,9703,-2.14,-1.63,-30.64,-7.22,DrugcombDB,162401
CABAZITAXEL,9854073,Co-V,439693,8.62,7.83,-14.13,8.81,DrugcombPortal,417612
mitomycin C,5746,MK-1775,24856436,18.39,14.9,11.14,14.57,DrugcombPortal,58473
JQ1,46907787,Withaferin A,265237,2.851,15.816,-0.357,15.523,DrugcombDB,485248
MK-2206,24964624,topotecan,60700,13.38,1.88,10.9,2.17,DrugcombPortal,29007
MK-4541,59691338,vinorelbine,5311497,5.41,9.86,-36.64,9.97,DrugcombPortal,70332
Bortezomib,387447,Vatalanib,151194,2.87,3.96,56.02,21.59,DrugcombPortal,1225697
ROMIDEPSIN,5352062,FULVESTRANT,104741,1.89,2.33,-1.84,-0.77,DrugcombDB,147486
Ruxolitinib,25126798,303727-31-3,9950176,-32.43,-18.86,-46.56,-2.8,DrugcombPortal,1353573
CHLORAMBUCIL,2708,ROMIDEPSIN,5352062,-0.62,-3.51,-10.21,-8.02,DrugcombDB,316399
LY-2874455,46944259,Disulfiram,3117,0.18,3.329,-4.112,5.637,DrugcombDB,486977
5-Fluoro-2'-deoxyuridine,5790,Nilotinib,644241,-2.75,-1.82,-43.88,-4.76,DrugcombPortal,244852
NSC 85998,23615975,ARSENIC TRIOXIDE,14888,-8.45,-5.5,-42.43,-5.21,DrugcombDB,205207
Asenapine,3036780,stanozolol,25249,2.0,-10.93,1.98,-10.93,DrugcombPortal,110067
Sunitinib,5329102,ifosfamide,3690,0.58,3.47,-0.17,0.43,DrugcombPortal,220676
MK-4541,59691338,Bortezomib,387447,4.4,4.05,0.23,2.39,DrugcombPortal,24361
VINORELBINE,5311497,SORAFENIB,216239,-2.35,-5.56,-9.05,-3.13,DrugcombDB,64120
Zanosar,23615975,IMIQUIMOD,57469,-1.03,-1.97,-0.84,-3.85,DrugcombPortal,235545
Romidepsin,5352062,Vinblastine sulfate,241902,1.62,4.65,0.83,0.26,DrugcombPortal,152543
IFOSFAMIDE,3690,NSC256439,42890,-2.93,-3.75,-13.47,-1.99,DrugcombDB,435002
PACLITAXEL,36314,AZD1775,24856436,5.0,3.89,-2.48,6.51,DrugcombDB,59069
Vismodegib,24776445,Romidepsin,5352062,2.72,2.72,-44.14,3.43,DrugcombPortal,307939
amodiaquine,2165,Levonorgestrel,13109,-5.48,-20.86,-5.49,-20.86,DrugcombPortal,105649
EPINEPHRINE,5816,AZITHROMYCIN,447043,-0.23,-1.36,-0.24,-1.36,DrugcombDB,129144
bumetanide,2471,"001, RAD",6442177,5.73,-0.41,5.71,-0.41,DrugcombPortal,126579
ADM hydrochloride,32874,Procarbazine hydrochloride,9703,19.91,21.67,14.9,17.76,DrugcombPortal,239789
Bortezomib,387447,oxyphenbutazone,4641,1.64,-0.52,1.55,-0.52,DrugcombPortal,120466
CARBOPLATIN,426756,MK-5108,24748204,-0.93,-7.16,-4.74,-9.64,DrugcombDB,87611
RUXOLITINIB,25126798,CHEMBL277800,354624,-9.26,-8.22,-49.92,-3.13,DrugcombDB,380900
AZD1775,24856436,OXALIPLATIN,9887053,0.24,-6.89,-11.23,-8.47,DrugcombDB,38991
vinblastine,13342,915019-65-7,11977753,1.24,-6.19,-1.14,-1.3,DrugcombPortal,8998
Sunitinib,5329102,GSK0660,46233311,-3.93,7.52,-5.34,-5.12,DrugcombPortal,1371682
5-Fluoro-2'-deoxyuridine,5790,Antibiotic AY 22989,5284616,-1.16,3.1,-1.15,5.52,DrugcombPortal,212227
Fingolimod,107970,GW0742,9934458,6.07,38.88,-16.55,22.55,DrugcombPortal,1270476
RUXOLITINIB,25126798,MECHLORETHAMINE HYDROCHLORIDE,5935,-0.96,-1.57,-0.58,-2.05,DrugcombDB,302342
Procarbazine hydrochloride,9703,TOPOTECAN HYDROCHLORIDE,60699,-22.85,-22.0,-62.93,-11.07,DrugcombPortal,136391
METFORMIN,4091,AZD1775,24856436,5.36,6.24,-52.7,5.12,DrugcombDB,55981
CELECOXIB,2662,ADM HYDROCHLORIDE,32874,-2.27,-3.66,-5.11,-4.34,DrugcombDB,436844
MRK-003,15953832,CYCLOPHOSPHAMIDE,2907,2.94,0.18,2.03,-3.11,DrugcombDB,75184
Stibogluconate,16683013,Tanespimycin,6505803,-34.99,-26.85,-7.4,-4.75,DrugcombPortal,1368776
CHEMBL17639,1546,ADM HYDROCHLORIDE,32874,0.13,-1.05,-29.95,-9.08,DrugcombDB,294732
vincristine,5978,BI-D1870,25023738,38.19,43.22,26.44,37.45,DrugcombPortal,1396134
EMTRICITABINE,60877,TEMOZOLOMIDE,5394,12.99,6.28,12.99,6.28,DrugcombDB,444571
5-Fluorouracil,3385,altretamine,2123,-10.3,-9.11,-18.17,-9.6,DrugcombPortal,406486
thiotepa,5453,Pralatrexate,148121,-1.83,-5.04,-7.78,-5.94,DrugcombPortal,249432
FEBUXOSTAT,134018,RUFINAMIDE,129228,-16.36,-28.92,-16.37,-28.92,DrugcombDB,92640
CARBOPLATIN,426756,BORTEZOMIB,387447,2.64,-0.03,-1.58,-0.55,DrugcombDB,16410
EXEMESTANE,60198,Crizotinib,11626560,-1.46,-2.38,-1.48,-1.79,DrugcombPortal,321919
ALTRETAMINE,2123,PAZOPANIB,10113978,70.68,58.96,70.68,58.96,DrugcombDB,122382
VINBLASTINE SULFATE,241902,NSC256439,42890,-2.47,-5.52,-3.81,-3.11,DrugcombDB,434840
Carboplatinum,38904,Vorinostat,5311,5.22,5.5,-46.04,3.72,DrugcombPortal,59960
THALIDOMIDE,5426,BORTEZOMIB,387447,-5.87,-5.88,-35.15,-1.4,DrugcombDB,253639
MK-5108,24748204,MK-2206,24964624,8.15,2.08,4.02,3.22,DrugcombDB,86523
QUINACRINE HYDROCHLORIDE,6239,PIPOBROMAN,4842,-3.46,-3.97,-3.28,-4.98,DrugcombDB,180911
ABIRATERONE,132971,ALLOPURINOL,135401907,-2.25,-3.58,-29.68,-3.51,DrugcombDB,385536
pargyline,4688,METYROSINE,441350,-8.36,-20.61,-8.38,-20.61,DrugcombPortal,99710
vincristine,5978,Perifosine,148177,8.45,45.23,30.77,43.43,DrugcombPortal,1398373
Fulvestrant,104741,Quinacrine hydrochloride,6239,-1.8,0.83,-14.13,-6.43,DrugcombPortal,297439
Vepesid J,36462,NSC733504,6442177,6.77,5.95,0.53,1.13,DrugcombPortal,412094
RO495,57519505,PF-431396,11598628,1.51,1.036,-1.398,1.038,DrugcombDB,481900
158798-73-3,400633,anastrozole,2187,-3.55,-2.83,-4.44,-1.02,DrugcombPortal,221046
915019-65-7,11977753,Sepantronium,10126189,6.93,10.26,-4.29,11.0,DrugcombPortal,463935
Paclitaxel,36314,Vandetanib,3081361,-0.32,-1.08,-0.28,15.67,SYNERGx,177113
Quinacrine hydrochloride,6239,IMIQUIMOD,57469,6.48,9.19,6.49,5.14,DrugcombPortal,284217
methotrexate,126941,Sorafenib,216239,2.42,-2.53,-5.22,-1.77,DrugcombPortal,51457
BEZ-235,11977753,MK-8776,16224745,11.48,-0.16,9.47,0.05,DrugcombDB,34654
ALACEPRIL,71992,PANOBINOSTAT,6918837,-3.1,-1.58,-25.31,2.27,DrugcombDB,448300
MK-2206,24964624,TOPOTECAN,60700,6.3,4.39,-1.31,3.79,DrugcombDB,65523
EXEMESTANE,60198,THIOGUANINE,2723601,-2.22,-5.66,-5.54,-3.67,DrugcombDB,192573
PAZOPANIB HYDROCHLORIDE,11525740,VANDETANIB,3081361,0.11,3.24,-8.51,-1.25,DrugcombDB,298450
MK-4541,59691338,GELDANAMYCIN,5288382,-1.03,-0.88,-24.47,5.09,DrugcombDB,5958
