cas_number,Drug_name,table_link,db_id,indication
396-01-0,Triamterene,2258X1618,DB00384,"For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism."
10417-94-4,Icosapent,2259X1611,DB00159,"EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy."
608137-32-2,Lisdexamfetamine,2259X1645,,For the treatment of Attention Deficit/Hyperactivity Disorder (ADHD) in pediatric populations aged 6 to 12 years.
20074-52-6,Ferric cation,2260X1952,,"For the control of serum phosphorus levels in patients with chronic kidney disease on dialysis, as ferric citrate."
117976-89-3,Rabeprazole,2261X1641,DB01129,"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, H. pylori eradication, and prevention of gastroinetestinal bleeds with NSAID use."
83480-29-9,Voglibose,2261X1750,,For the treatment of diabetes. It is specifically used for lowering post-prandial blood glucose levels thereby reducing the risk of macrovascular complications.
74050-98-9,Ketanserin,2261X1924,,
99614-02-5,Ondansetron,2262X1632,DB00904,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, postoperation, and radiation. Also used for the treatment of postoperative nausea and vomiting."
53-19-0,Mitotane,2263X1624,DB00648,For treatment of inoperable adrenocortical tumours; Cushing's syndrome
9041-08-1,Tinzaparin,2263X1788,,Tinzaparin is used for the prevention of postoperative venous thromboembolism in patients undergoing orthopedic surgery and in patients undergoing general surgery who are at high risk of developing postoperative venous thromboembolism. It is also used for the treatment of deep vein thrombosis and/or pulmonary embolism. It is indicated for use in preventing clot formation in indwelling intravenous lines for hemodialysis.
864070-44-0,Empagliflozin,2263X1854,,Empagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in adult patients with type 2 diabetes.
81-81-2,Warfarin,2264X1625,DB00682,"For the treatment of retinal vascular occlusion, pulmonary embolism, cardiomyopathy, atrial fibrillation and flutter, cerebral embolism, transient cerebral ischaemia, arterial embolism and thrombosis."
313-06-4,Estradiol cypionate,2265X1950,DB13954,Depo-Estradiol intramuscular depot injection is indicated for the treatment of moderate to severe vasomotor symptoms and hypoestrogenism due to hypogonadism.
43200-80-2,Zopiclone,1866X1645,DB01198,For the short-term treatment of insomnia.
201038-74-6,SB-269970,1866X1955,,
29216-28-2,Mequitazine,1867X1641,DB01071,"For the treatment of Hay fever, urticaria (hives) and allergic rhinitis"
49562-28-9,Fenofibrate,1868X1640,DB01039,"For use as adjunctive therapy to diet to reduce elevated LDL-C, Total-C,Triglycerides and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia (Fredrickson Types IIa and IIb)"
1187594-09-7,Baricitinib,1868X1906,,"Indicated for the treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs as monotherapy or in combination with methotrexate."
586-06-1,Orciprenaline,1870X1633,DB00816,"For the treatment of bronchospasm, chronic bronchitis, asthma, and emphysema."
1777-82-8,Dichlorobenzyl alcohol,1870X1948,,Dichlorobenzyl alcohol in combination with [DB13908] is available in over-the-counter products used for symptomatic relief of acute sore throat and postoperative sore throat.[A27155]
22071-15-4,Ketoprofen,1871X1639,DB01009,"For symptomatic treatment of acute and chronic rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, primary dysmenorrhea and mild to moderate pain associated with musculotendinous trauma (sprains and strains), postoperative (including dental surgery) or postpartum pain."
5697-56-3,Carbenoxolone,1871X1677,DB02329,
54-64-8,Thimerosal,1871X1899,,"Used as preservative in some cosmetics, topical pharmaceuticals, and biological drug products, which includes vaccines [L1671, L1672, L1673]."
2078-54-8,Propofol,1872X1633,DB00818,Used for induction and/or maintenance of anaesthesia and for management of refractory status epilepticus.
584-79-2,Bioallethrin,1872X1950,,Bioallethrin was used for lice and scabies infestation. Other pyrethroids are now used in place of bioallethrin.
768-94-5,Amantadine,1873X1636,DB00915,"For the chemoprophylaxis, prophylaxis, and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Also for the treatment of parkinsonism and drug-induced extrapyramidal reactions."
36861-47-9,Enzacamene,1873X1894,,Indicated for use as an active sunscreen agent.
59-67-6,Niacin,1874X1627,DB00627,For the treatment of type IV and V hyperlipidemia. It is indicated as ajunctive therapy.
76721-89-6,Thiorphan,1874X1846,DB08626,
67452-97-5,Alclometasone,1875X1615,DB00240,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
47608-32-2,Trospium,1876X1614,DB00209,"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition."
84225-95-6,Raclopride,1876X1927,,
73573-87-2,Formoterol,1877X1638,DB00983,"For use as long-term maintenance treatment of asthma in patients 6 years of age and older with reversible obstructive airways disease, including patients with symptoms of nocturnal asthma, who are using optimal corticosteroid treatment and experiencing regular or frequent breakthrough symptoms requiring use of a short-acting bronchodilator. Not indicated for asthma that can be successfully managed with occasional use of an inhaled, short-acting beta2-adrenergic agonist. Also used for the prevention of exercise-induced bronchospasm, as well as long-term treatment of bronchospasm associated with COPD."
34580-13-7,Ketotifen,1878X1635,DB00920,Indicated as an add-on or prophylactic oral medication in the chronic treatment of mild atopic asthmatic children. Also used as self-medication for the temporary relief of itching of the eye due to allergic conjunctivitis (ophthalmic).
87-00-3,Homatropine,1878X1892,,Indicated as an overdose-rescuing agent in combination with hydrocodone antitussive [FDA Label].    Indicated for the induction of mydriasis in ophthalmic solutions.
25775-90-0,Zucapsaicin,1879X1859,,"Indicated to be used in conjunction with oral COX-2 inhibitors or NSAIDs for the relief of severe pain in adult patients with osteoarthritis of the knee, not controlled with oral COX-2 inhibitors or NSAIDs alone, for a duration of no more than three months."
85721-33-1,Ciprofloxacin,1880X1623,DB00537,"For the treatment of the following infections caused by susceptible organisms: urinary tract infections, acute uncomplicated cystitis, chronic bacterial prostatitis, lower respiratory tract infections, acute sinusitis, skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections (used in combination with metronidazole), infectious diarrhea, typhoid fever (enteric fever), uncomplicated cervical and urethral gonorrhea, and inhalational anthrax (post-exposure)."
88899-56-3,Bafilomycin B1,1880X1788,,
241479-67-4,Isavuconazole,1880X1899,,"- Indicated for patients 18 years of age and older for the treatment of invasive aspergillosis [FDA Label].  - Indicated for patients 18 years of age and older for the treatment of invasive mucormycosis [FDA Label], including patients where treatment amphotericin B is inappropriate [L1482]."
599-79-1,Sulfasalazine,1881X1631,DB00795,For the treatment of Crohn's disease and rheumatoid arthritis as a second-line agent.
465499-11-0,Rapacuronium,1881X1749,,"Used in anaesthesia, to aid and enable endotracheal intubation."
13739-02-1,Diacerein,1881X1910,,For the treatment of osteoarthritis affecting the hip or knee [L780].
64228-81-5,Atracurium besylate,2250X1629,DB00732,"For use, as an adjunct to general anesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
637-07-0,Clofibrate,2251X1626,DB00636,For Primary Dysbetalipoproteinemia (Type III hyperlipidemia) that does not respond adequately to diet. This helps control high cholesterol and high triglyceride levels.
26615-21-4,Zotepine,2251X1862,,"Zotepine, like other atypical antipsychotics, is considered as the first-line treatment in newly diagnosed schizophrenia. It is usually thought to be an option of choice for managing acute schizophrenic episodes when discussion with the patient is not possible. Zotepine, as an atypical antipsychotic, is used in patients who are suffering unacceptable side effects from conventional antipsychotics or in relapse patients that were inadequately controlled.[T108]     It is important to consider that the indications stated above are related to atypical antipsychotics, that zotepine is not currently FDA, Canada or EMA approved and that studies have not shown any additional benefit when compared with other approved atypical antipsychotics.[A31857]    Schizophrenia is a chronic and severe mental disorder that affects how a person thinks, feels and behaves. It is usually marked for a loose reality perspective delineated by hallucinations, delusions and thought and movement disorders.[L1320]"
57-22-7,Vincristine,2252X1623,DB00541,"Treatment of acute lymphocytic leukemia (ALL), Hodgkin lymphoma, non-Hodgkin lymphomas, Wilms' tumor, neuroblastoma, rhabdomyosarcoma. Liposomal vincristine is indicated for the treatment of relapsed Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL)."
105628-72-6,Hydroxyfasudil,2252X1745,,
554-57-4,Methazolamide,2253X1628,DB00703,For treatment of chronic open-angle glaucoma and acute angle-closure glaucoma
50-27-1,Estriol,2253X1741,DB04573,Used as a test to determine the general health of an unborn fetus.
14028-44-5,Amoxapine,2254X1623,DB00543,For the relief of symptoms of depression in patients with neurotic or reactive depressive disorders as well as endogenous and psychotic depressions. May also be used to treat depression accompanied by anxiety or agitation.
88660-47-3,Epicriptine,2254X1894,,Please refer to [DB01049] and to know more about the isomer please refer to [DB11274].
170729-80-3,Aprepitant,2255X1627,DB00673,"For the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy, including high-dose cisplatin (in combination with other antiemetic agents)."
9001-73-4,Papain,2255X1892,,No FDA-approved therapeutic indications.
28014-46-2,Polyestradiol phosphate,2256X1866,,
191732-72-6,Lenalidomide,2257X1621,DB00480,Lenalidomide is indicated for the treatment of multiple myeloma in combination with dexamethasone. It is also indicated for the treatment of patients with transfusion-dependent anemia due to low- or intermediate- risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.
64318-79-2,Gemeprost,2257X1854,,"Indicated for the softening and dilatation of the cervix uteri prior to transcervical, intrauterine operative procedures in the first trimester of pregnancy or facilitating therapeutic termination of pregnancy in patients in the second trimester of gestation."
74517-78-5,Indecainide,2259X1612,DB00192,For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.
38677-81-5,Pirbuterol,2259X1646,,For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible bronchospasm including asthma.
56-41-7,L-Alanine,2260X1611,DB00160,Used for protein synthesis.
145216-43-9,Forasartan,2260X1647,,For the treatment of hypertension.
1379686-29-9,SR-9011,2260X1954,,
133-16-4,Chloroprocaine,2261X1642,DB01161,For the production of local anesthesia by infiltration and peripheral nerve block. They are not to be used for lumbar or caudal epidural anesthesia.
36357-77-4,Phosphoramidon,2261X1682,DB02557,
69-72-7,Salicylic acid,2262X1633,DB00936,"Key additive in many skin-care products for the treatment of acne, psoriasis, callouses, corns, keratosis pilaris and warts."
5587-89-3,Iopodic acid,2262X1863,,"Iopodic acid is available as a cholecystographic agent. This denomination indicates the iopodic acid is a radiopaque substance that can be used to visualize the gallbladder and biliary channels in abdominal X-ray.[L1587, A32087] An abdominal X-ray uses a minimal amount of ionizing radiation to produce pictures of the inside of the abdominal cavity. It is commonly used to evaluate the stomach, liver, intestines, and spleen.[L1589]    Iopodic acid has also been indicated for the treatment of hyperthyroidism such as Graves disease.[A32085, A32086] Hyperthyroidism refers to any condition where there is too much thyroid hormone produced in the body (overactive thyroid). When the overactivity involves the entire thyroid gland, it is known as Grave's disease.[L1590]"
54-32-0,Moxisylyte,2263X1859,,"By the WHO, moxisylyte is indicated for the symptomatic management of sequelae of cerebral infarction or hemorrhage.[T91] The cerebral infarction is characterized by the blockage of the artery either by the formation of a thrombus or an embolus.[A31644]     On the other hand, the FDA classified moxisylyte for the reversal of phenylephrine-induced mydriasis in patients who have narrow anterior angles and are at risk of developing an acute attack of angle-closure glaucoma.[L1172]  Closed-angle glaucoma is caused by the contact between the iris and the trabecular meshwork. This contact will damage the aqueous outflow by the meshwork thus, increasing eye pressure and producing the symptoms of glaucoma.[A31645] Mydriasis is referred to the dilatation of the pupils and this standard body function is known to be a trigger factor for the development of acute closed-angle glaucoma.This risk is explained by the generation of a pupillary block, which is the contact between the pupillary margins and the lens, thus preventing flow from the aqueous humor to the anterior chamber and followed by an increased pressure gradient.[L1173]     Moxisylyte is also approved in France as the first drug for the treatment of impotence.[A31647]"
58-00-4,Apomorphine,2264X1626,DB00714,"For the acute, intermittent treatment of hypomobility, off episodes (end-of-dose wearing off and unpredictable on/off episodes) associated with advanced Parkinson's disease."
80890-47-7,Concanamycin A,2265X1953,,
114-07-8,Erythromycin,1866X1614,DB00199,"For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>."
38321-02-7,Dexverapamil,1866X1957,,
83-89-6,Quinacrine,1867X1642,DB01103,For the treatment of giardiasis and cutaneous leishmaniasis and the management of malignant effusions.
6640-24-0,m-Chlorophenylpiperazine,1867X1915,,
14769-73-4,Levamisole,1870X1634,DB00848,For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.  Levamisole was originally used as an antihelminthic to treat worm infestations in both humans and animals.
58-73-1,Diphenhydramine,1871X1641,DB01075,"For the treatment of symptoms associated with Vertigo/Meniere's disease, nausea and vomiting, motion sickness and insect bite."
31262-37-0,Tetrahydrocannabivarin,1871X1904,,"THCV does not currently have any FDA, Health Canada, or EMA approved indications."
58-39-9,Perphenazine,1872X1634,DB00850,For use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults.
390-64-7,Prenylamine,1872X1750,,
,Agkistrodon piscivorus antivenin,1872X1952,,CROFAB is a sheep-derived antivenin indicated for the management of adult and pediatric patients with North American crotalid envenomation [FDA label].
129453-61-8,Fulvestrant,1873X1637,DB00947,For the treatment of hormone receptor positive metastatic breast cancer in postmenopausal women with disease progression following anti-estrogen therapy.
94948-59-1,Tasonermin,1873X1900,,"For use in adults as an adjunct to surgery for subsequent removal of the tumour so as to prevent or delay amputation, or in palliative care, for irresectable soft tissue sarcoma of the limbs [FDA Label]. Used in combination with melphalan via mild hyperthermic isolated limb perfusion."
77337-76-9,Acamprosate,1874X1628,DB00659,For the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation
262352-17-0,Torcetrapib,1874X1781,,Investigated for use/treatment in peripheral vascular disease and hyperlipidemia.
105-20-4,Betazole,1875X1616,DB00272,For use clinically to test gastric secretory function.
85416-75-7,(R)-Rolipram,1875X1730,DB04149,
77-26-9,Butalbital,1876X1615,DB00241,"Used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches, migraines, and pain."
,Ephedra,1876X1649,,"Ephedra is widely used by athletes, despite a lack of evidence that it enhances athletic performance. Ephedra has also been used for weight loss."
,Anti-inhibitor coagulant complex,1876X1946,,"For use in the control of bleeding episodes, perioperative management, and routine prophylaxis against bleeding episodes in hemophilia A and B patients with inhibitors [FDA Label]. It is not indicated in the absence of factor VIII or IX inhibitors."
1286770-55-5,Verubecestat,1877X1920,DB12285,
121679-13-8,Naratriptan,1878X1636,DB00952,For the acute treatment of migraine attacks with or without aura in adults.
475086-01-2,Selexipag,1878X1896,,Selexipag is indicated for the treatment of pulmonary arterial hypertension (PAH) to delay disease progression and reduce risk of hospitalization.
93413-62-8,Desvenlafaxine,1879X1787,,Desvenlafaxine is indicated for the treatment of major depressive disorder in adults.
107667-60-7,Polaprezinc,1879X1862,,"Peptic ulcer disease, dyspepsia [L1308]."
104993-28-4,Fondaparinux,1880X1624,DB00569,"Approved for: (1) prophylaxis of VTE for up to one month post surgery in patients undergoing orthopedic surgery of the lower limbs such as hip fracture, hip replacement and knee surgery; (2) prophylaxis of VTE patients undergoing abdominal surgery who are at high risk of thromboembolic complications (e.g. patients undergoing abdominal cancer surgery); (3) treatment of acute DVT and PE; (4) management of UA and NSTEMI for the prevention of death and subsequent myocardial infarction (MI); and (5) management of STEMI for the prevention of death and myocardial reinfarction in patients who are managed with thrombolytics or who are initially to receive no form of reperfusion therapy. Fondaparinux should not be used as the sole anticoagulant during percutaneous coronary intervention (PCI) due to an increased risk of guiding catheter thrombosis."
105102-22-5,Mometasone,2250X1630,DB00764,The inhaler is indicated for the maintenance treatment of asthma as prophylactic therapy. The nasal spray is indicated for the treatment of the nasal symptoms of seasonal allergic and perennial allergic rhinitis.
118-55-8,Phenyl salicylate,2250X1889,,Pain and fever [L2468].
103628-46-2,Sumatriptan,2251X1627,DB00669,For the treatment of migraine attacks with or without aura.
103766-25-2,Gimeracil,2251X1863,,"Gimeracil is used as an adjunct to antineoplastic therapy. When used within the product Teysuno, gimeracil is indicated for the treatment of adults with advanced gastric (stomach) cancer when given in combination with cisplatin."
29679-58-1,Fenoprofen,2252X1624,DB00573,For relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. Also for the relief of mild to moderate pain.
8001-79-4,Castor oil,2252X1890,,Indicated for over-the-counter use as a laxative for oral use and as a soothing agent for topical use on skin and hair.
65472-88-0,Naftifine,2253X1629,DB00735,"For the topical treatment of tinea pedis, tinea cruris, and tinea corporis caused by the organisms <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, <i>Trichophyton tonsurans</i> and <i>Epidermophyton floccosum</i>."
8063-17-0,Rauwolfia serpentina root,2253X1866,DB09363,"Rauwolfia alkaloids are indicated in the treatment of hypertension [L1614]. Rauwolfia alkaloids have been used for relief of symptoms in agitated psychotic states such as schizophrenia; however, use as antipsychotics and sedatives have been replaced with the use of more effective, safer agents [L1614]."
4205-90-7,Clonidine,2254X1624,DB00575,"May be used as an adjunct in the treatment of hypertension, as an epidural infusion as an adjunct treatment in the management of severe cancer pain that is not relieved by opiate analgesics alone, for differential diagnosis of pheochromocytoma in hypertensive patients, prophylaxis of vascular migraine headaches, treatment of severe dysmenorrhea, management of vasomotor symptoms associated with menopause, rapid detoxification in the management of opiate withdrawal, treatment of alcohol withdrawal used in conjunction with benzodiazepines, management of nicotine dependence, topical use to reduce intraocular pressure in the treatment of open-angle and secondary glaucoma and hemorrhagic glaucoma associated with hypertension, and in the treatment of attention-deficit hyperactivity disorder (ADHD)."
869858-13-9,Thrombin Alfa,2254X1897,,"Indicated to aid hemostasis whenever oozing blood and minor bleeding from capillaries and small venules is accessible and control of bleeding by standard surgical techniques (such as suture, ligature, or cautery) is ineffective or impractical in adults and pediatric populations greater than or equal to one month of age [FDA Label].    Additionally, thrombin alfa can be used in conjunction with an absorbable gelatin sponge, USP [FDA Label]."
745-65-3,Alprostadil,2256X1630,DB00770,"For palliative, not definitive, therapy to temporarily maintain the patency of the ductus arteriosus until corrective or palliative surgery can be performed in neonates who have congenital heart defects and who depend upon the patent ductus for survival. Also for the treatment of erectile dysfunction due to neurogenic, vasculogenic, psychogenic, or mixed etiology."
2174-16-5,Trolamine salicylate,2256X1889,,"Indicated for the temporary relief of aches, and pains of muscles and joints associated with backache, lumbago, strains, bruises, sprains and arthritic or rheumatic pain, pain of tendons and ligaments [L1791]."
125-71-3,Dextromethorphan,2257X1622,DB00514,For treatment and relief of dry cough.
120444-71-5,Deramciclane,2257X1783,,Investigated for use/treatment in anxiety disorders.
52365-63-6,Dipivefrin,2258X1620,DB00449,Dipivefrin is a prodrug which is used as initial therapy for the control of intraocular pressure in chronic open-angle glaucoma.
27203-92-5,Tramadol,2260X1612,DB00193,"Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis."
4360-12-7,Ajmaline,2260X1649,,For use as an antiarrhythmic agent.
139076-62-3,"Antihemophilic factor, human recombinant",2261X1607,DB00025,"For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency."
37517-30-9,Acebutolol,2261X1643,DB01193,For the management of hypertension and ventricular premature beats in adults.
555-30-6,Methyldopa,2262X1634,DB00968,For use in the treatment of hypertension.
906805-06-9,Necitumumab,2262X1866,DB09559,Necitumumab is approved for use in combination with cisplatin and gemcitabine as a first-line treatment for metastatic squamous non-small cell lung cancer (NSCLC). It is not indicated for treatment of non-squamous NSCLC.
68693-11-8,Modafinil,2263X1627,DB00745,To improve wakefulness in patients with excessive daytime sleepiness (EDS) associated with narcolepsy.
103129-82-4,Levamlodipine,2263X1860,,For the treatment of hypertension and angina [L1483].
36322-90-4,Piroxicam,2265X1621,DB00554,For treatment of osteoarthritis and rheumatoid arthritis.
846-50-4,Temazepam,1866X1615,DB00231,For the short-term treatment of insomnia (generally 7-10 days).
191588-94-0,Tenecteplase,1867X1609,DB00031,For treatment of myocardial infarction and lysis of intracoronary emboli
106819-53-8,Doxacurium chloride,1867X1643,DB01135,"Used to provide skeletal muscle relaxation as an adjunct to general anesthesia, for endotracheal intubation or to facilitate mechanical ventilation."
79617-96-2,Sertraline,1868X1642,DB01104,"For the management of major depressive disorder (MDD), posttraumatic stress disorder (PTSD), obsessive-compulsive disorder (OCD), panic disorder (PD) with or without agoraphobia, premenstrual dysphoric disorder (PMDD), and social anxiety disorder (SAD) [FDA Label].     It may be used for premature ejaculation and vascular headaches as off-label indications."
58-32-2,Dipyridamole,1869X1638,DB00975,For as an adjunct to coumarin anticoagulants in the prevention of postoperative thromboembolic complications of cardiac valve replacement and also used in prevention of angina.
8023-77-6,Capsicum oleoresin,1869X1892,,"Indicated for the temporary relief of minor aches and pains of muscles and joints associated with simple backache, arthritis, strains and sprains."
58-94-6,Chlorothiazide,1870X1635,DB00880,"Chlorothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension."
141626-36-0,Dronedarone,1870X1751,,Management of paroxysmal or persistent atrial fibrillation via restoration of normal sinus rhythm.
129716-58-1,Dofequidar,1870X1957,,
125-64-4,Methyprylon,1871X1642,DB01107,For the treatment of insomnia.
,Fish oil,1872X1954,,"Under FDA approval, fish oil pharmaceuticals are typically products consisting of a combination of the omega-3-fatty acids eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) and are indicated primarily as an adjunct to diet to reduce triglyceride levels in adult patients with severe (>=500 mg/dL) hypertriglyceridemia [FDA Label, F36].    Under EMA approval, such fish oil pharmaceuticals comprised of virtually the same fish and fish oil derived omega-3-fatty acids EPA and DHA are indicated specifically for (a) adjuvant treatment in secondary prevention after myocardial infarction, in addition to other standard therapy (ie. statins, antiplatelet medicinal products, beta blockers, ACE inhibitors), and (b) as a supplement to diet when dietary measures alone are insufficient to produce an adequate response, particularly with type IV hypertriglyceridemia in monotherapy or type IIb/III in combination with statins, when control of triglycerides is insufficient [L2661]. In addition, prescribing information for EMA approved fish oil pharmaceuticals are also indicated as an adjunct to diet to reduce very high (>=500 mg/dL) triglyceride levels in adult patients, much like similar FDA approved indications [F37, FDA Label]."
512-15-2,Cyclopentolate,1873X1638,DB00979,Used mainly to produce mydriasis and cycloplegia for diagnostic purposes.
50-60-2,Phentolamine,1874X1629,DB00692,"Used as an aid for the diagnosis of pheochromocytoma, and may be administered immediately prior to or during pheochromocytomectomy to prevent or control paroxysmal hypertension resulting from anesthesia, stress, or operative manipulation of the tumor. Phentolamine has also been used to treat hypertensive crisis caused by sympathomimetic amines or catecholamine excess by certain foods or drugs in patients taking MAO inhibitors, or by clonidine withdrawal syndrome. Other indications include the prevention of dermal necrosis and sloughing following IV administration or extravasation of norepinephrine, decrease in impedance to left ventricular ejection and the infarct size in patients with MI associated with left ventricular failure, treatment of erectile dysfunction through self-injection of small doses combined with papaverine hydrochloride into the corpus cavernosum, and as an adjunct to the management of cocaine overdose to reverse coronary vasoconstriction following use of oxygen, benzodiazepines,and nitroglycerin."
54024-22-5,Desogestrel,1875X1617,DB00304,For the prevention of pregnancy in women who elect to use this product as a method of contraception.
97240-79-4,Topiramate,1876X1616,DB00273,Used for the treatment and control of partial seizures and severe tonic-clonic (grand mal) seizures and also for the prevention of migraine headaches. In children it is also used for treatment of Lennox-Gastaut syndrome. Qsymia® is indicated for the treatment and management of obesity.
186691-13-4,Tiotropium,1876X1650,,Used in the management of chronic obstructive pulmonary disease (COPD).
571-20-0,"5-Alpha-Androstane-3-Beta,17beta-Diol",1876X1722,DB03882,
,Antihemophilic factor human,1876X1947,,"The human antihemophilic factor is indicated for the cases of hemophilia A, also known as classical hemophilia for the prevention and control of hemorrhagic episodes.[L1055] If surgery is needed in patients with hemophilia A there is a need of correction of the clotting abnormality. In this cases, the human antihemophilic factor may be administered followed by intermittent maintenance doses.[L1053] The hemophilia A is characterized by the deficiency of the coagulation factor VIII that results in prolonged blood flow after injury or surgery as well as recurrent bleeding.[T56]"
103222-11-3,Vapreotide,1877X1752,,For the treatment of esophageal variceal bleeding in patients with cirrhotic liver disease and has also shown efficacy in the treatment of patients with AIDS-related diarrhea.
62-90-8,Nandrolone phenpropionate,1878X1637,DB00984,"For the treatment of refractory deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin III deficiency, fibrinogen excess, growth failure and Turner's syndrome. It is also indicated in the prophylaxis of hereditary angioedema."
51322-75-9,Tizanidine,1879X1628,DB00697,For the management of increased muscle tone associated with spasticity
88899-55-2,Bafilomycin A1,1879X1788,,
65847-85-0,Morniflumate,1879X1864,,"Morniflumate is indicated for the treatment of inflammatory conditions affecting the airways, ENT system, urogenital tract and bone and joint systems in adults. In Italy, morniflumate is also indicated for the treatment of pain associated with ear, nose, throat (ENT) and gastrointestinal inflammatory conditions in children.  Morniflumate is a well established NSAID that has been in use for over three decades in Italy (particularly for the treatment of upper respiratory tract infections in children), France, Belgium, Austria, Switzerland, Spain and Portugal; it has a generally favorable tolerability profile."
113775-47-6,Dexmedetomidine,1880X1626,DB00633,"For sedation of initially intubated and mechanically ventilated patients during treatment in an intensive care setting, also used in pain relief; anxiety reduction and analgesia"
192939-46-1,Ximelagatran,1881X1751,,For the treatment of acute deep vein thrombosis.
145040-37-5,Candesartan cilexetil,2250X1631,DB00796,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Candesartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
94-25-7,Butamben,2250X1891,,Butamben was indicated for the treatment of chronic pain due to its long-duration effect.[A32663] It is also indicated as a surface anesthetic for skin a mucous membrane and for the relief of pain and pruritus associated with anorectal disorders.[L2445]
72797-41-2,Tianeptine,2251X1864,,Used primarily in the treatment of major depressive disorder and anxiety [A31969]. It is currently being studied for fibromyalgia pain treatment [L1426].
38194-50-2,Sulindac,2252X1625,DB00605,"For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis."
91-85-0,Thonzylamine,2252X1893,,Thozylamine is indicated for use in the symptomatic control of allergic rhinitis or other upper respiratory allergic symptoms [FDA Label]. It is typically a part of combination over the counter products.
63-12-7,Benzquinamide,2253X1630,DB00767,"Used to prevent and treat nausea and vomiting associated with anesthesia and surgery, administered intramuscularly or intravenously."
481-97-0,Estrone sulfate,2254X1741,,"Estropipate is used for the treatment of moderate to severe vasomotor symptoms associated with the monopause, and moderate to severe symptoms of vulval and vaginal atrophy associated with the menopause. It is also used to treat hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and prevent postmenopausal osteoporosis."
